LanguageHaveWorkedWith,ConvertedCompYearly,YearsCode,ResponseId,,,ExperienceGroup,N Python,N JS/Java,Mean Python,Mean JS/Java,MeanDiff J minus Py,%Diff J vs Py,T Stat Welch,P Value Two Tailed
Bash/Shell (all shells);Python,34000,12,3640,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;SQL,300000,16,3666,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Lua;Perl;Python;R,96750,12,3708,,,,,,,,,,,
Python,135000,12,3802,,,,,,,,,,,
Bash/Shell (all shells);Go;Kotlin;Python;SQL;Swift,209000,25,4290,,,,,,,,,,,
Python,105624,21,4678,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;Rust,175000,7,4719,,,,,,,,,,,
Bash/Shell (all shells);C;Kotlin;Lisp;MATLAB;Python;R;SQL,130000,28,4888,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;PowerShell;Python,250000,28,4978,,,,,,,,,,,
Python;R,175000,28,4995,,,,,,,,,,,
C;C++;Delphi;Python,102000,30,5000,,,,,,,,,,,
C#;C++;HTML/CSS;PowerShell;Python;Rust;TypeScript,120000,25,5068,,,,,,,,,,,
Bash/Shell (all shells);Go;Lua;Python;SQL,180000,9,5114,,,,,,,,,,,
C;MATLAB;MicroPython;Python,90000,10,5136,,,,,,,,,,,
C#;HTML/CSS;Python;SQL,80000,25,5159,,,,,,,,,,,
Python,360000,30,5184,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python,185000,15,5254,,,,,,,,,,,
Python,58500,6,5292,,,,,,,,,,,
Bash/Shell (all shells);Python,100000,12,5304,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;Python;R,250000,13,5318,,,,,,,,,,,
C;C++;MATLAB;Python,170000,29,5342,,,,,,,,,,,
GDScript;MATLAB;Python,113000,5,5346,,,,,,,,,,,
C#;HTML/CSS;PHP;Python;SQL;Visual Basic (.Net),180000,28,5386,,,,,,,,,,,
C;C#;C++;Python,135940,9,5416,,,,,,,,,,,
Python;R;SQL,110000,20,5433,,,,,,,,,,,
Python;R;SQL,150000,5,5449,,,,,,,,,,,
Python;TypeScript,220000,28,5472,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;R;Rust;Scala;SQL,82000,4,5512,,,,,,,,,,,
Bash/Shell (all shells);Lua;PowerShell;Python,40000,10,5517,,,,,,,,,,,
Go;HTML/CSS;PowerShell;Python;SQL;TypeScript,130000,10,5566,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,250000,9,5594,,,,,,,,,,,
Bash/Shell (all shells);MATLAB;MicroPython;Python,68500,6,5621,,,,,,,,,,,
C;C++;HTML/CSS;MicroPython;Python,80000,8,5629,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;Kotlin;Lua;PHP;PowerShell;Python;SQL;Swift,110000,9,5693,,,,,,,,,,,
C;C++;Fortran;Python,140000,24,5715,,,,,,,,,,,
PowerShell;Python;R;VBA,55000,20,5728,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;SQL,274000,25,5776,,,,,,,,,,,
C++;Go;Python;TypeScript,147000,10,5802,,,,,,,,,,,
Python;Swift,300000,25,5818,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;Rust,36000,14,5828,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;MATLAB;PowerShell;Python,200000,25,5840,,,,,,,,,,,
Go;HTML/CSS;PowerShell;Python;R;SQL,105000,12,5884,,,,,,,,,,,
C#;PowerShell;Python;SQL;VBA,192000,30,5956,,,,,,,,,,,
Bash/Shell (all shells);C;C++;MATLAB;MicroPython;Python,115000,9,5998,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Python;SQL,177348,8,6165,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;TypeScript,350000,30,6211,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;GDScript;Kotlin;Python;Rust;Swift,180000,13,6230,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;GDScript;Lua;Python,130000,19,6254,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Fortran;OCaml;Python,160000,25,6268,,,,,,,,,,,
Bash/Shell (all shells);C#;Kotlin;Python;SQL;TypeScript,134000,20,6276,,,,,,,,,,,
C;C++;Python,235000,23,6312,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python,65000,15,6466,,,,,,,,,,,
C;C++;PowerShell;Python,400000,28,6500,,,,,,,,,,,
Bash/Shell (all shells);Kotlin;Python;Ruby;Swift,200000,16,6737,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,96000,12,6739,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python,116000,16,6854,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;Python,150000,10,6883,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;PowerShell;Python,230000,25,7165,,,,,,,,,,,
Bash/Shell (all shells);Python,130000,12,8279,,,,,,,,,,,
Python;SQL,135000,10,8665,,,,,,,,,,,
Bash/Shell (all shells);C++;MATLAB;Python;TypeScript,180000,16,8862,,,,,,,,,,,
Bash/Shell (all shells);Python;Rust,111000,15,8930,,,,,,,,,,,
C;C#;C++;Go;Python;SQL;Zig,90000,12,9090,,,,,,,,,,,
Bash/Shell (all shells);C++;Fortran;HTML/CSS;Python,160000,10,9154,,,,,,,,,,,
C;Lua;Python;Rust;Swift,290000,11,9168,,,,,,,,,,,
Bash/Shell (all shells);C;C#;Go;HTML/CSS;Lua;PowerShell;Python;Ruby;Rust,94000,5,9236,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;PowerShell;Python;SQL;Visual Basic (.Net),91000,11,9368,,,,,,,,,,,
C;C++;MATLAB;Python;Rust,60000,15,9406,,,,,,,,,,,
Bash/Shell (all shells);C#;Python;VBA;Visual Basic (.Net),140000,30,10592,,,,,,,,,,,
Python,40000,5,10697,,,,,,,,,,,
C;C#;C++;PowerShell;Python;Rust;SQL;TypeScript,215000,20,10815,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python,105000,11,10922,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;SQL;TypeScript,215000,18,11001,,,,,,,,,,,
Go;Python;SQL,200000,14,11047,,,,,,,,,,,
Assembly;C;C#;C++;Go;MicroPython;Python;Rust;SQL;Visual Basic (.Net),75000,26,11125,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;PowerShell;Python,128920,25,11151,,,,,,,,,,,
C;C++;Fortran;MATLAB;Perl;PowerShell;Python;Rust,114000,17,11214,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;Python;R;TypeScript,131000,12,11278,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;PHP;Python,140000,4,11342,,,,,,,,,,,
Bash/Shell (all shells);C;GDScript;Lua;Python;TypeScript,350000,12,11373,,,,,,,,,,,
Go;Python,205000,15,11434,,,,,,,,,,,
Bash/Shell (all shells);C++;PowerShell;Python;Rust;SQL,250000,24,11500,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Python;R,78000,24,11558,,,,,,,,,,,
Bash/Shell (all shells);C;C#;PowerShell;Python;SQL;VBA;Visual Basic (.Net),90000,30,11563,,,,,,,,,,,
C#;HTML/CSS;PowerShell;Python;SQL;Visual Basic (.Net),70000,10,11564,,,,,,,,,,,
Bash/Shell (all shells);C;MATLAB;Python;R,47000,7,11581,,,,,,,,,,,
Python,215000,25,11587,,,,,,,,,,,
Bash/Shell (all shells);Perl;PHP;Python;Ruby,150000,18,11606,,,,,,,,,,,
C;Python;Rust;TypeScript,265000,20,11647,,,,,,,,,,,
C++;Python;TypeScript,83600,8,11663,,,,,,,,,,,
Bash/Shell (all shells);C;C++;PowerShell;Python,89970,6,11719,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python,96000,9,11769,,,,,,,,,,,
C;C++;Lisp;MATLAB;Python;SQL;TypeScript,47000,8,11835,,,,,,,,,,,
Bash/Shell (all shells);C#;COBOL;HTML/CSS;PowerShell;Python;SQL,108000,29,11861,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;SQL,120000,20,11927,,,,,,,,,,,
Bash/Shell (all shells);Go;Python,80000,7,11946,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;MATLAB;PowerShell;Python,152000,12,11950,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL,145000,19,11995,,,,,,,,,,,
C;HTML/CSS;Python;R;Rust;SQL,150000,16,12003,,,,,,,,,,,
Python;SQL,150000,25,12060,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Perl;PowerShell;Python,220000,21,12155,,,,,,,,,,,
Bash/Shell (all shells);C;Python,140000,30,12225,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Python,103282,10,12226,,,,,,,,,,,
Bash/Shell (all shells);C;C++;PowerShell;Python,93000,7,12264,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Python;R;SQL,78000,8,12279,,,,,,,,,,,
Bash/Shell (all shells);C;Lua;PowerShell;Python;Rust;SQL,150000,12,13163,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Python,74000,12,13202,,,,,,,,,,,
Bash/Shell (all shells);C#;PHP;PowerShell;Python;SQL,103000,10,13264,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Lisp;Lua;Python;Rust;TypeScript,170000,12,13337,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;C++;MATLAB;Python;R,87000,19,13458,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Kotlin;Python,190000,15,13528,,,,,,,,,,,
Python;Rust,125000,11,13675,,,,,,,,,,,
C#;PowerShell;Python;SQL,120000,16,13771,,,,,,,,,,,
C++;Python;R;SQL;TypeScript,100000,13,13777,,,,,,,,,,,
Bash/Shell (all shells);Go;Kotlin;Python;SQL,387000,12,13839,,,,,,,,,,,
Bash/Shell (all shells);Python;R;SQL,80000,10,13956,,,,,,,,,,,
Bash/Shell (all shells);Python,216000,26,13959,,,,,,,,,,,
Bash/Shell (all shells);C#;PowerShell;Python;Visual Basic (.Net),70000,10,13972,,,,,,,,,,,
Assembly;C;C++;Lua;Python,46020,12,14073,,,,,,,,,,,
Go;Python;Rust,400000,20,14124,,,,,,,,,,,
Bash/Shell (all shells);C;C++;PowerShell;Python,71250,7,14153,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;PowerShell;Python,300000,29,14177,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,190000,10,14217,,,,,,,,,,,
Python;SQL,176000,15,14221,,,,,,,,,,,
Python;SQL,154000,23,14248,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Python;SQL,187000,7,14252,,,,,,,,,,,
Bash/Shell (all shells);C;Fortran;MicroPython;Python,106000,10,14266,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;Kotlin;Python;Rust;Gleam,115000,10,14330,,,,,,,,,,,
Bash/Shell (all shells);Python;Ruby;SQL;TypeScript,245000,27,14802,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;PHP;Python;SQL,125000,17,14806,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,104000,9,14832,,,,,,,,,,,
HTML/CSS;Python;R;SQL,68000,5,14851,,,,,,,,,,,
Bash/Shell (all shells);C;C#;Python,90000,18,14969,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL,205000,18,14981,,,,,,,,,,,
C++;Python,165552,16,14982,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Lua;Python,280000,22,14990,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Python;Rust,150000,15,15021,,,,,,,,,,,
Bash/Shell (all shells);Go;MATLAB;Python;R,70000,5,15101,,,,,,,,,,,
HTML/CSS;PowerShell;Python;SQL,150000,30,15130,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;SQL,115000,20,15199,,,,,,,,,,,
Bash/Shell (all shells);Python,77700,18,15228,,,,,,,,,,,
Go;Python,152000,12,15299,,,,,,,,,,,
Python;R;SQL,250000,8,15304,,,,,,,,,,,
GDScript;HTML/CSS;Python;R;Ruby;VBA,53000,9,15366,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Python;R;SQL;VBA,55000,15,15461,,,,,,,,,,,
C#;Go;Groovy;PowerShell;Python;SQL,91300,5,15477,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,180000,29,15513,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;R;SQL;Visual Basic (.Net),165000,19,15587,,,,,,,,,,,
Bash/Shell (all shells);Python,135000,10,15590,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Perl;PowerShell;Python;R;Rust;SQL,143000,13,15593,,,,,,,,,,,
HTML/CSS;Python,190000,30,15680,,,,,,,,,,,
Python;R;SQL;VBA,120000,7,15685,,,,,,,,,,,
HTML/CSS;Python;Rust;SQL;TypeScript,270000,21,15703,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Python,175000,30,15730,,,,,,,,,,,
Python;SQL,180000,18,15746,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,140000,8,15764,,,,,,,,,,,
C;C++;Python,82000,10,15790,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,200000,12,15810,,,,,,,,,,,
Bash/Shell (all shells);C++;Python;Scala;SQL,255000,27,15839,,,,,,,,,,,
Bash/Shell (all shells);COBOL;PowerShell;Python;SQL,87000,13,15887,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;PowerShell;Python;SQL,70000,20,16170,,,,,,,,,,,
C;C#;C++;PHP;PowerShell;Python;SQL,120000,20,17144,,,,,,,,,,,
Assembly;Bash/Shell (all shells);MicroPython;Python,60000,5,17152,,,,,,,,,,,
Bash/Shell (all shells);Go;PowerShell;Python;Ruby;SQL,240000,30,17176,,,,,,,,,,,
Go;Python;Rust;SQL,170000,15,17218,,,,,,,,,,,
Bash/Shell (all shells);C++;COBOL;HTML/CSS;MicroPython;Python;R,50000,4,17238,,,,,,,,,,,
Bash/Shell (all shells);Python;R;SQL,175000,16,17344,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Kotlin;Python;SQL;Swift;TypeScript,140000,11,17365,,,,,,,,,,,
Python,125000,7,17450,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Perl;PowerShell;Prolog;Python;Rust;SQL,246000,25,17494,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;MicroPython;PowerShell;Python;Rust;SQL,80000,13,17605,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;MATLAB;PowerShell;Python,60000,10,17649,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python;Scala;SQL,250250,16,17779,,,,,,,,,,,
Go;Python;Ruby;SQL,185000,10,17801,,,,,,,,,,,
Python;Scala;SQL,300000,28,17946,,,,,,,,,,,
Bash/Shell (all shells);Python;SQL,156000,27,17974,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Lua;MATLAB;PowerShell;Python,100000,7,18103,,,,,,,,,,,
PowerShell;Python;SQL,77000,15,18144,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,200000,22,18251,,,,,,,,,,,
Bash/Shell (all shells);Kotlin;Python;Scala;SQL;TypeScript,290000,16,18459,,,,,,,,,,,
C#;Dart;Python;SQL;VBA,104000,20,18530,,,,,,,,,,,
Bash/Shell (all shells);Python;Scala;SQL,170000,6,18610,,,,,,,,,,,
Bash/Shell (all shells);C;C++;PowerShell;Python,250000,20,18813,,,,,,,,,,,
Python,140000,10,18879,,,,,,,,,,,
C;Fortran;Python;Rust,60000,30,18884,,,,,,,,,,,
Python,130000,18,18913,,,,,,,,,,,
Bash/Shell (all shells);C++;MATLAB;PowerShell;Python;SQL,140000,19,18982,,,,,,,,,,,
Python;Rust,250000,15,18993,,,,,,,,,,,
Bash/Shell (all shells);Python,100000,15,19011,,,,,,,,,,,
Bash/Shell (all shells);C++;Python;Rust;TypeScript,330000,11,19072,,,,,,,,,,,
Bash/Shell (all shells);C;MicroPython;Python,130000,17,19113,,,,,,,,,,,
HTML/CSS;Python,220000,1,19155,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python;Rust,305000,16,19173,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python;Rust;SQL,315000,13,19181,,,,,,,,,,,
Ada;Bash/Shell (all shells);C++;PowerShell;Python;Rust,155000,4,19211,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Python;TypeScript,220000,10,19254,,,,,,,,,,,
Bash/Shell (all shells);Python;Rust,200000,12,19272,,,,,,,,,,,
Python;TypeScript,210000,30,19295,,,,,,,,,,,
Bash/Shell (all shells);Python;Ruby;Rust;SQL,260000,12,19362,,,,,,,,,,,
C;C++;Python,152000,10,19506,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Python;SQL;TypeScript,177300,19,19652,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;MATLAB;PowerShell;Python;Rust;SQL,130000,17,20288,,,,,,,,,,,
C++;Lua;Python,110000,14,20346,,,,,,,,,,,
Python;SQL,190000,20,20400,,,,,,,,,,,
Bash/Shell (all shells);MATLAB;Python;R,69000,11,20569,,,,,,,,,,,
Python;SQL,180000,12,20737,,,,,,,,,,,
Python,50000,8,20779,,,,,,,,,,,
Python;SQL,175000,11,21007,,,,,,,,,,,
Bash/Shell (all shells);PowerShell;Python;SQL,220000,15,21028,,,,,,,,,,,
Bash/Shell (all shells);Lua;Python;Zig,200000,5,21042,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Lua;Python;SQL,180000,26,21113,,,,,,,,,,,
C++;Python;SQL,100000,6,21174,,,,,,,,,,,
Python;TypeScript,90000,30,21232,,,,,,,,,,,
HTML/CSS;Python,275000,2,21242,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Kotlin;Python,55000,7,21295,,,,,,,,,,,
Python,188000,16,21305,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Fortran;Lisp;Python;Rust,220000,19,21354,,,,,,,,,,,
Bash/Shell (all shells);C++;Python,120000,12,21372,,,,,,,,,,,
Python;Swift,60000,20,21396,,,,,,,,,,,
Bash/Shell (all shells);Go;Python;TypeScript,127000,9,21549,,,,,,,,,,,
C#;Python,161000,17,21578,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;MATLAB;Python;Rust,175000,30,21579,,,,,,,,,,,
C#;Dart;HTML/CSS;PHP;Python;SQL;TypeScript;Visual Basic (.Net),95000,14,22327,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Lisp;Python;Rust,140000,20,22574,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;Lua;Python,190000,17,22697,,,,,,,,,,,
Bash/Shell (all shells);Go;PowerShell;Python;Rust;SQL,165000,12,23221,,,,,,,,,,,
Bash/Shell (all shells);Perl;Python,200000,25,23517,,,,,,,,,,,
C#;HTML/CSS;PowerShell;Python;SQL,160000,4,23843,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;Python;SQL,65000,4,24023,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Kotlin;Python,85000,15,24170,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,240000,8,24247,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Python,111000,11,24465,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Perl;PowerShell;Python;SQL,105000,17,24474,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Lisp;Python,180000,25,24685,,,,,,,,,,,
